time,volume,close,high,low,open
1585872000000,48.2779348535,6741.2,6812.74,6731.69,6795.18
1585875600000,57.1212805548,6804.55,6808,6722.27,6742.63
1585879200000,65.08512725,6811.88,6828,6780,6803.58
1585882800000,106.26492543,6786.38,6825,6777.61,6812.09
1585886400000,51.41456959,6786.4,6796,6761.11,6786.39
1585890000000,39.4806784109,6779.49,6794.1,6749.55,6786.47
1585893600000,61.947053677,6798.81,6822.56,6765.9,6779.5
1585897200000,198.8124303,6928.57,6950,6789.44,6797.61
1585900800000,314.3641671033,6926.8,6976,6870.33,6931.53
1585904400000,101.3063836796,6959.22,6977.98,6892.81,6926.33
1585908000000,130.511634172,7014.81,7042,6911.38,6959.94
1585911600000,93.0980458769,7002.98,7033.71,6935.38,7014.81
1585915200000,354.4002679968,6913.99,7009.91,6842,7004.83
1585918800000,219.98799182,6836.27,6937.16,6824,6914
1585922400000,239.2260585998,6789.93,6857.93,6727,6840.02
1585926000000,208.965388976,6715.47,6823.08,6677.47,6791.45
1585929600000,225.3779276462,6752.33,6770,6607,6715.2
1585933200000,92.4338619718,6720.68,6796.58,6672,6752.33
1585936800000,42.6919586169,6744.47,6751.53,6680.16,6719.94
1585940400000,24.6022927957,6767.14,6787.99,6739.08,6746.22
1585944000000,62.4470169071,6698.86,6811.93,6680,6769.78
1585947600000,32.5392838213,6725,6755.37,6671,6697
1585951200000,33.8432223708,6769.29,6774.34,6711.94,6729.72
1585954800000,40.7338168606,6732.99,6779.54,6720.78,6765.21
1585958400000,51.470676109,6751.75,6762.11,6715.47,6736.58
1585962000000,63.536435682,6759.73,6800,6745.61,6755.15
1585965600000,58.6029911083,6682.31,6760.39,6681.82,6759.95
1585969200000,36.55918657,6699,6713.48,6666.86,6682.68
1585972800000,26.8172872256,6718.99,6737.12,6687.92,6699.01
1585976400000,51.2351716564,6729.25,6764.3,6710.06,6719
1585980000000,53.3564340767,6728,6734.98,6700,6730.02
1585983600000,27.9786367565,6732.6,6739.08,6719.08,6728.4499999999
1585987200000,57.6507366223,6780,6780,6730.47,6730.99
1585990800000,114.5018895098,6834.41,6858.22,6741.5,6780
1585994400000,92.40210919,6874.18,6887.75,6809.26,6837.96
1585998000000,276.0828685129,6700.01,6900,6652,6875.03
1586001600000,141.8229516432,6713.2,6733.33,6670,6700.01
1586005200000,67.78857517,6728.8,6748.22,6696.77,6715.13
1586008800000,69.6612887975,6711.9,6734.85,6702.53,6730.06
1586012400000,76.774140811,6734.11,6765.1,6710,6711.89
1586016000000,65.6061455403,6788.29,6798.03,6717.57,6732.86
1586019600000,43.4539142954,6777.81,6807,6763.48,6787.49
1586023200000,15.6526765134,6770.68,6800,6770,6778.35
1586026800000,37.4211465843,6749.42,6789.76,6723,6775.48
1586030400000,374.4976878897,6825.67,6992.58,6745.79,6749.42
1586034000000,69.6633408182,6858.16,6891.31,6827.37,6827.37
1586037600000,62.5319278697,6842.25,6877,6782,6858.99
1586041200000,26.1740203354,6857.38,6867.9,6823.01,6842.26
1586044800000,79.5441329372,6861.61,6894.42,6840.6,6857.83
1586048400000,48.3685061323,6846.16,6878.79,6833.35,6860.05
1586052000000,60.3329280759,6843.3,6846.16,6802.72,6846.16
1586055600000,39.05890814,6796.74,6841.94,6790.22,6841.73
1586059200000,45.7279425314,6775.6,6797.4,6751.02,6797.4
1586062800000,42.0129098596,6787.9,6840,6762.46,6777.67
1586066400000,48.4380749182,6775.7,6788.66,6742.05,6786.52
1586070000000,26.26028532,6771.61,6789.54,6758,6775.88
1586073600000,31.05296891,6781.87,6800.2,6751.38,6771.77
1586077200000,49.1260157231,6773.86,6828,6765.5,6784.03
1586080800000,42.7564475543,6748.83,6784.03,6745.1,6774.4
1586084400000,47.606539139,6776.51,6818,6748.22,6751.94
1586088000000,35.1243097212,6791.03,6795.71,6761.99,6777.3
1586091600000,48.7377607451,6797.32,6821.59,6781.44,6789.19
1586095200000,28.7656561468,6772.01,6800.54,6769.02,6800
1586098800000,20.5376971381,6786,6802.5399999999,6763.06,6773.04
1586102400000,20.1606854588,6784.28,6793.22,6768.25,6786.3
1586106000000,153.6972290233,6799.38,6828.57,6680,6784.28
1586109600000,42.2874204863,6793.23,6816.5,6780,6799.89
1586113200000,14.344438834,6792.35,6812.33,6786.44,6793.23
1586116800000,35.6972958842,6752.74,6794.5,6729.7,6793.44
1586120400000,11.7968308351,6756.03,6793.63,6721.92,6754.13
1586124000000,32.4537951703,6796.94,6805.1,6755.93,6759.13
1586127600000,14.09307597,6773.17,6803.37,6766.42,6799
1586131200000,116.7019964867,6865.25,6873.8669999999,6766.42,6773.77
1586134800000,71.5114321174,6840.32,6883.81,6830.66,6869.94
1586138400000,50.1209283659,6825.2,6847.72,6801.72,6840.56
1586142000000,37.8975150267,6845.28,6848.32,6824.32,6827.11
1586145600000,228.06268418,6942.49,6957,6843.37,6845.28
1586149200000,145.4486155322,6985,6999,6914.44,6944.35
1586152800000,277.524702675,7075.6,7095.5,6958.01,6989.45
1586156400000,189.825243909,7029.43,7100,6955,7078.49
1586160000000,86.555550655,7038.52,7080.99,7020.8,7030.85
1586163600000,248.2843466215,7101.98,7142,7038.71,7040.05
1586167200000,117.7679027956,7077.51,7150,7073.04,7103.44
1586170800000,58.145279578,7100.22,7117.97,7074.88,7076.29
1586174400000,143.8395626036,7133.53,7160.99,7099.2,7100.35
1586178000000,163.19085005,7100.99,7161,7040,7132.11
1586181600000,87.5031507343,7100,7114.29,7059.25,7100
1586185200000,75.645374255,7142.14,7145,7087.85,7100
1586188800000,214.5050994375,7146.13,7182.51,7084,7142.14
1586192400000,161.8260997314,7205.71,7214.2886,7138.26,7147.79
1586196000000,125.1493293189,7244.36,7249.89,7176.5,7206.62
1586199600000,215.4225503589,7265.21,7300,7228,7241.9
1586203200000,97.82258806,7216.58,7286,7188.23,7265.22
1586206800000,57.0796237506,7286.85,7286.85,7206.63,7218.35
1586210400000,69.3094678802,7267.69,7286.85,7234.34,7286.85
1586214000000,206.9026058016,7330.01,7350,7245.91,7267.7
